Season,DayNum,Team_A,Score_A,Team_B,Score_B,Seed_A,Seed_B,mean_WScore_A,mean_LScore_A,WL_A,Point_Diff_A,mean_WScore_B,mean_LScore_B,WL_B,Point_Diff_B,Win_A,SeedDiff,PD_Diff,WL_Diff
1985,136,1116,63,1234,54,9,8,68.95238095238095,59.0,0.6363636363636364,22.424242424242426,76.25,56.7,0.6666666666666666,31.933333333333334,1,1,-9.509090909090908,-0.030303030303030276
1985,136,1120,59,1345,58,11,6,72.66666666666667,66.54545454545455,0.6206896551724138,19.862068965517242,70.05882352941177,67.125,0.68,26.16,1,5,-6.297931034482758,-0.05931034482758624
1985,136,1207,68,1250,43,1,16,76.68,64.0,0.9259259259259259,66.25925925925927,74.72727272727273,60.27777777777778,0.3793103448275862,-9.068965517241375,1,-15,75.32822477650065,0.5466155810983397
1985,136,1229,58,1425,55,9,8,74.2,64.14285714285714,0.7407407407407407,38.333333333333336,72.94736842105263,58.77777777777778,0.6785714285714286,30.607142857142858,1,1,7.726190476190478,0.062169312169312096
1985,136,1242,49,1325,38,3,14,78.65217391304348,67.42857142857143,0.7666666666666667,44.56666666666668,67.45,67.85714285714286,0.7407407407407407,32.370370370370374,1,-11,12.196296296296303,0.02592592592592602
1985,136,1246,66,1449,58,12,5,67.625,62.916666666666664,0.5714285714285714,11.678571428571429,68.5909090909091,56.666666666666664,0.7096774193548387,32.225806451612904,1,7,-20.547235023041473,-0.13824884792626735
1985,136,1256,78,1338,54,5,12,78.23076923076923,68.0,0.9285714285714286,67.78571428571429,75.26666666666667,63.36363636363637,0.5769230769230769,16.615384615384617,1,-7,51.17032967032968,0.35164835164835173
1985,136,1260,59,1233,58,4,13,86.8,81.0,0.8333333333333334,58.833333333333336,74.72,72.75,0.8620689655172413,54.37931034482759,1,-9,4.4540229885057485,-0.028735632183907955
1985,136,1314,76,1292,57,2,15,77.30434782608695,67.375,0.7419354838709677,39.96774193548387,67.46153846153847,67.0,0.5,0.23076923076923514,1,-13,39.73697270471464,0.24193548387096775
1985,136,1323,79,1333,70,7,10,70.7,67.75,0.7142857142857143,31.142857142857142,63.904761904761905,56.625,0.7241379310344828,30.655172413793103,1,-3,0.48768472906403915,-0.009852216748768461
1985,136,1326,75,1235,64,4,13,79.6842105263158,73.77777777777777,0.6785714285714286,30.357142857142858,74.76470588235294,67.91666666666667,0.5862068965517241,15.724137931034482,1,-9,14.633004926108375,0.09236453201970451
1985,136,1328,96,1299,83,1,16,92.8,75.0,0.8333333333333334,64.83333333333333,75.125,62.625,0.6666666666666666,29.208333333333332,1,-15,35.625,0.16666666666666674
1985,136,1374,85,1330,68,5,12,78.77272727272727,68.25,0.7333333333333333,39.566666666666656,75.77777777777777,69.27272727272727,0.6206896551724138,20.758620689655178,1,-7,18.808045977011478,0.11264367816091947
1985,136,1385,83,1380,59,1,16,76.88888888888889,69.33333333333333,0.9,62.266666666666666,91.11111111111111,73.4,0.6428571428571429,32.357142857142854,1,-15,29.90952380952381,0.2571428571428571
1985,136,1396,60,1439,57,8,9,66.625,60.8,0.8275862068965517,44.6551724137931,84.84210526315789,72.375,0.7037037037037037,38.25925925925926,1,-1,6.395913154533844,0.12388250319284799
1985,136,1424,85,1361,80,4,13,84.92592592592592,62.333333333333336,0.9,70.2,83.08695652173913,73.14285714285714,0.7666666666666667,46.63333333333333,1,-9,23.56666666666667,0.1333333333333333
1985,137,1104,50,1112,41,7,10,72.0952380952381,60.111111111111114,0.7,32.433333333333344,70.27777777777777,59.0,0.6666666666666666,27.185185185185187,1,-3,5.248148148148157,0.033333333333333326
1985,137,1130,55,1403,53,11,6,81.25,64.7,0.6153846153846154,25.115384615384617,72.54545454545455,58.285714285714285,0.7586206896551724,40.96551724137931,1,5,-15.850132625994693,-0.14323607427055696
1985,137,1181,75,1337,62,3,14,81.5,72.14285714285714,0.7586206896551724,44.41379310344828,75.4,76.42857142857143,0.7407407407407407,36.03703703703704,1,-11,8.37675606641124,0.017879948914431676
1985,137,1208,67,1455,59,6,11,81.10526315789474,69.25,0.7037037037037037,36.55555555555556,84.17647058823529,67.08333333333333,0.5862068965517241,21.586206896551722,1,-5,14.969348659003835,0.11749680715197963
1985,137,1210,65,1273,58,2,15,73.08333333333333,63.42857142857143,0.7741935483870968,42.25806451612903,83.55,67.75,0.7142857142857143,40.32142857142857,1,-13,1.9366359447004626,0.05990783410138245
