Season,DayNum,Team_A,Score_A,Team_B,Score_B,Seed_A,Seed_B,mean_WScore_A,mean_LScore_A,WL_A,Point_Diff_A,mean_WScore_B,mean_LScore_B,WL_B,Point_Diff_B,Win_A
1985,136,1116,63,1234,54,9,8,68.95238095238095,59.0,0.6363636363636364,22.424242424242426,68.95238095238095,59.0,0.6363636363636364,22.424242424242426,1
1985,136,1120,59,1345,58,11,6,72.66666666666667,66.54545454545455,0.6206896551724138,19.862068965517242,72.66666666666667,66.54545454545455,0.6206896551724138,19.862068965517242,1
1985,136,1207,68,1250,43,1,16,76.68,64.0,0.9259259259259259,66.25925925925927,76.68,64.0,0.9259259259259259,66.25925925925927,1
1985,136,1229,58,1425,55,9,8,74.2,64.14285714285714,0.7407407407407407,38.333333333333336,74.2,64.14285714285714,0.7407407407407407,38.333333333333336,1
1985,136,1242,49,1325,38,3,14,78.65217391304348,67.42857142857143,0.7666666666666667,44.56666666666668,78.65217391304348,67.42857142857143,0.7666666666666667,44.56666666666668,1
1985,136,1246,66,1449,58,12,5,67.625,62.916666666666664,0.5714285714285714,11.678571428571429,67.625,62.916666666666664,0.5714285714285714,11.678571428571429,1
1985,136,1256,78,1338,54,5,12,78.23076923076923,68.0,0.9285714285714286,67.78571428571429,78.23076923076923,68.0,0.9285714285714286,67.78571428571429,1
1985,136,1260,59,1233,58,4,13,86.8,81.0,0.8333333333333334,58.833333333333336,86.8,81.0,0.8333333333333334,58.833333333333336,1
1985,136,1314,76,1292,57,2,15,77.30434782608695,67.375,0.7419354838709677,39.96774193548387,77.30434782608695,67.375,0.7419354838709677,39.96774193548387,1
1985,136,1323,79,1333,70,7,10,70.7,67.75,0.7142857142857143,31.142857142857142,70.7,67.75,0.7142857142857143,31.142857142857142,1
1985,136,1326,75,1235,64,4,13,79.6842105263158,73.77777777777777,0.6785714285714286,30.357142857142858,79.6842105263158,73.77777777777777,0.6785714285714286,30.357142857142858,1
1985,136,1328,96,1299,83,1,16,92.8,75.0,0.8333333333333334,64.83333333333333,92.8,75.0,0.8333333333333334,64.83333333333333,1
1985,136,1374,85,1330,68,5,12,78.77272727272727,68.25,0.7333333333333333,39.566666666666656,78.77272727272727,68.25,0.7333333333333333,39.566666666666656,1
1985,136,1385,83,1380,59,1,16,76.88888888888889,69.33333333333333,0.9,62.266666666666666,76.88888888888889,69.33333333333333,0.9,62.266666666666666,1
1985,136,1396,60,1439,57,8,9,66.625,60.8,0.8275862068965517,44.6551724137931,66.625,60.8,0.8275862068965517,44.6551724137931,1
1985,136,1424,85,1361,80,4,13,84.92592592592592,62.333333333333336,0.9,70.2,84.92592592592592,62.333333333333336,0.9,70.2,1
1985,137,1104,50,1112,41,7,10,72.0952380952381,60.111111111111114,0.7,32.433333333333344,72.0952380952381,60.111111111111114,0.7,32.433333333333344,1
1985,137,1130,55,1403,53,11,6,81.25,64.7,0.6153846153846154,25.115384615384617,81.25,64.7,0.6153846153846154,25.115384615384617,1
1985,137,1181,75,1337,62,3,14,81.5,72.14285714285714,0.7586206896551724,44.41379310344828,81.5,72.14285714285714,0.7586206896551724,44.41379310344828,1
1985,137,1208,67,1455,59,6,11,81.10526315789474,69.25,0.7037037037037037,36.55555555555556,81.10526315789474,69.25,0.7037037037037037,36.55555555555556,1
1985,137,1210,65,1273,58,2,15,73.08333333333333,63.42857142857143,0.7741935483870968,42.25806451612903,73.08333333333333,63.42857142857143,0.7741935483870968,42.25806451612903,1
1985,137,1228,76,1318,57,3,14,73.21739130434783,53.875,0.7419354838709677,40.41935483870968,73.21739130434783,53.875,0.7419354838709677,40.41935483870968,1
1985,137,1268,69,1275,68,5,12,76.27272727272727,63.09090909090909,0.6666666666666666,29.818181818181813,76.27272727272727,63.09090909090909,0.6666666666666666,29.818181818181813,1
1985,137,1272,67,1335,55,2,15,76.3076923076923,65.0,0.896551724137931,61.689655172413794,76.3076923076923,65.0,0.896551724137931,61.689655172413794,1
1985,137,1276,59,1192,55,1,16,81.44,65.66666666666667,0.8928571428571429,65.67857142857143,81.44,65.66666666666667,0.8928571428571429,65.67857142857143,1
1985,137,1298,78,1261,55,13,4,80.08695652173913,69.6,0.8214285714285714,53.357142857142854,80.08695652173913,69.6,0.8214285714285714,53.357142857142854,1
1985,137,1301,65,1305,56,3,14,78.45,64.11111111111111,0.6896551724137931,34.206896551724135,78.45,64.11111111111111,0.6896551724137931,34.206896551724135,1
