Season,DayNum,Team_A,Score_A,Team_B,Score_B,Seed_A,Seed_B,mean_WScore_A,FGM_A,FGA_A,FGM3_A,FGA3_A,FTM_A,FTA_A,OR_A,DR_A,Ast_A,TO_A,Stl_A,Blk_A,PF_A,mean_LScore_A,FG%_A,3P%_A,FT%_A,FGM_B,FGA_B,FGM3_B,FGA3_B,FTM_B,FTA_B,OR_B,DR_B,Ast_B,TO_B,Stl_B,Blk_B,PF_B,WL_A,Point_Diff_A,mean_WScore_B,mean_LScore_B,WL_B,Point_Diff_B,FG%_B,3P%_B,FT%_B,Win_A,SeedDiff,PD_Diff,WL_Diff,FGM_Diff,FGA_Diff,FGM3_Diff,FGA3_Diff,FTM_Diff,FTA_Diff,OR_Diff,DR_Diff,Ast_Diff,TO_Diff,Stl_Diff,Blk_Diff,PF_Diff,FG%_Diff,3P%_Diff,FT%_Diff
2003,134,1421,92,1411,84,16,16,79.53846154,27.23076923,57.84615385,6.923076923,17.23076923,18.15384615,23.61538462,12.30769231,26.38461538,16.30769231,14.92307692,8.615384615,3.538461538,18,64.4375,0.470744681,0.401785714,0.768729641,22.0625,55.9375,6.125,18.625,14.1875,18.75,12.25,20.5625,10.375,17.25,5.8125,2.5625,20,0.448275862,0.103448276,79.53846154,64.4375,0.448275862,0.103448276,0.394413408,0.32885906,0.756666667,1,0,0,0,5.16826923,1.90865385,0.798076923,-1.39423077,3.96634615,4.86538462,0.05769231,5.82211538,5.93269231,-2.32692308,2.802884615,0.975961538,-2,0.076331273,0.072926654,0.012062974
2003,136,1112,80,1436,51,1,16,86.2,30.64,64.84,7.08,19.24,17.84,25.28,14.84,28.16,18.2,14.8,8.44,4.24,17.48,77,0.47254781,0.367983368,0.705696203,27.66666667,73,6.666666667,27,15,22.66666667,18,23.33333333,13,14.66666667,8.666666667,4,20,0.892857143,68.71428571,86.2,77,0.892857143,68.71428571,0.378995434,0.24691358,0.661764706,1,-15,0,0,2.97333333,-8.16,0.413333333,-7.76,2.84,2.61333333,-3.16,4.82666667,5.2,0.13333333,-0.226666667,0.24,-2.52,0.093552376,0.121069788,0.043931497
2003,136,1113,84,1272,71,10,7,80.72222222,29.05555556,55.94444444,3.555555556,11.05555556,19.05555556,28.11111111,14,25.22222222,16.94444444,13.88888889,5.722222222,5.333333333,18.44444444,68.18181818,0.519364449,0.32160804,0.677865613,24.18181818,58.45454545,4.727272727,15.09090909,15.09090909,23.09090909,13.18181818,20.18181818,13.27272727,14.18181818,4.363636364,2.454545455,21,0.620689655,24.24137931,80.72222222,68.18181818,0.620689655,24.24137931,0.413685848,0.313253012,0.653543307,1,3,0,0,4.87373738,-2.51010101,-1.171717171,-4.03535353,3.96464647,5.02020202,0.81818182,5.04040404,3.67171717,-0.29292929,1.358585858,2.878787878,-2.55555556,0.105678601,0.008355028,0.024322306
2003,136,1141,79,1166,73,11,6,83.34782609,27.95652174,52.65217391,7.217391304,17.65217391,20.2173913,25.95652174,10.2173913,23.95652174,16.73913043,18.13043478,7.347826087,4.217391304,20,64,0.530966144,0.408866995,0.778894472,21.5,52.83333333,5.333333333,19,15.66666667,22.16666667,12,20.66666667,11.33333333,18.66666667,6.166666667,3.166666667,24.66666667,0.793103448,52.86206897,83.34782609,64,0.793103448,52.86206897,0.406940063,0.280701754,0.706766917,1,5,0,0,6.45652174,-0.18115942,1.884057971,-1.34782609,4.55072463,3.78985507,-1.7826087,3.28985507,5.4057971,-0.53623189,1.18115942,1.050724637,-4.66666667,0.124026081,0.128165241,0.072127555
2003,136,1143,76,1301,74,8,9,76.0952381,27.57142857,56.85714286,6.047619048,15.76190476,14.9047619,21.28571429,10.47619048,25.9047619,16.66666667,14.42857143,6.857142857,2.857142857,16.23809524,70.25,0.484924623,0.383685801,0.700223713,26.75,63.625,7.375,20.375,9.375,14.875,13.25,20.375,14.25,13.5,5.75,2.625,19.375,0.724137931,35.72413793,76.0952381,70.25,0.724137931,35.72413793,0.42043222,0.36196319,0.630252101,1,-1,0,0,0.82142857,-6.76785714,-1.327380952,-4.61309524,5.5297619,6.41071429,-2.77380952,5.5297619,2.41666667,0.92857143,1.107142857,0.232142857,-3.13690476,0.064492403,0.021722611,0.069971612
2003,136,1163,58,1140,53,5,12,85.19047619,31.19047619,63.52380952,6.714285714,15.38095238,16.0952381,23.42857143,15.23809524,29.52380952,17.14285714,15.14285714,6.380952381,8.428571429,17.76190476,68,0.491004498,0.436532508,0.68699187,25.66666667,59.11111111,4.555555556,16.44444444,12.11111111,19,13.66666667,24.11111111,12.11111111,17.33333333,4.888888889,6.111111111,19.88888889,0.7,39.23333333,85.19047619,68,0.7,39.23333333,0.434210526,0.277027027,0.637426901,1,-7,0,0,5.52380952,4.41269841,2.158730158,-1.06349206,3.98412699,4.42857143,1.57142857,5.41269841,5.03174603,-2.19047619,1.492063492,2.317460318,-2.12698413,0.056793972,0.159505481,0.049564969
2003,136,1181,67,1161,57,3,14,84,27.875,59.58333333,7.291666667,19.29166667,20.95833333,29.08333333,13.375,24.125,14.45833333,14.04166667,8.958333333,5.708333333,20,73.83333333,0.467832168,0.377969762,0.720630372,25.33333333,63.33333333,7.5,25.83333333,15.66666667,24,15.33333333,19,11.33333333,14,6.666666667,2.833333333,26.33333333,0.8,52.43333333,84,73.83333333,0.8,52.43333333,0.4,0.290322581,0.652777778,1,-11,0,0,2.54166667,-3.75,-0.208333333,-6.54166666,5.29166666,5.08333333,-1.95833333,5.125,3.125,0.04166667,2.291666666,2.875,-6.33333333,0.067832168,0.087647181,0.067852594
2003,136,1211,74,1153,69,9,8,78.47826087,26.65217391,55.34782609,7.217391304,18.69565217,17.95652174,25.13043478,12.30434783,26.2173913,16.13043478,14.7826087,7.217391304,3.347826087,18.17391304,73,0.48153967,0.386046512,0.714532872,24.375,55.75,7,20.125,17.25,23.25,10.875,22.75,14.625,13.875,5.625,4,20,0.741935484,39.38709677,78.47826087,73,0.741935484,39.38709677,0.437219731,0.347826087,0.741935484,1,1,0,0,2.27717391,-0.40217391,0.217391304,-1.42934783,0.70652174,1.88043478,1.42934783,3.4673913,1.50543478,0.9076087,1.592391304,-0.652173913,-1.82608696,0.044319939,0.038220425,-0.027402612
2003,136,1228,65,1443,60,4,13,78.20833333,28.20833333,55.91666667,7.625,19.83333333,14.16666667,19.54166667,10.125,25.375,19.29166667,13.125,7.458333333,2.916666667,18.08333333,64.33333333,0.504470939,0.384453782,0.724946695,22.66666667,55.33333333,6.666666667,21.5,12.33333333,17.33333333,8.166666667,25.5,14.16666667,13.33333333,5.166666667,3.833333333,23.33333333,0.8,49.7,78.20833333,64.33333333,0.8,49.7,0.409638554,0.310077519,0.711538461,1,-9,0,0,5.54166666,0.58333334,0.958333333,-1.66666667,1.83333334,2.20833334,1.958333333,-0.125,5.125,-0.20833333,2.291666666,-0.916666666,-5.25,0.094832385,0.074376263,0.013408234
2003,136,1242,64,1429,61,2,15,85.52173913,32.13043478,62.17391304,4.956521739,13.73913043,16.30434783,24.34782609,13.86956522,27.47826087,18.08695652,14.52173913,11.13043478,5.260869565,15.82608696,67.57142857,0.516783217,0.360759494,0.669642857,24,62.71428571,4.285714286,15.42857143,15.28571429,23.42857143,15.71428571,25,12.28571429,16.14285714,6.857142857,3.714285714,19.57142857,0.766666667,49.8,85.52173913,67.57142857,0.766666667,49.8,0.382687927,0.277777778,0.652439025,1,-13,0,0,8.13043478,-0.54037267,0.670807453,-1.689441,1.01863354,0.91925466,-1.84472049,2.47826087,5.80124223,-1.62111801,4.273291923,1.546583851,-3.74534161,0.13409529,0.082981716,0.017203832
